destination_code,destination_sub_district,destination_district,origin_district,species_type,number,weekly_volume
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,SERANG,BR,1000,7000
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,SUBANG,BR,1000,4000
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,CIANJUR,BR,1000,3000
D-BGR-117,BOJONG GEDE,BOGOR,BOGOR,BR,250,750
D-BGR-117,BOJONG GEDE,BOGOR,BOGOR,BR,250,500
D-BGR-117,BOJONG GEDE,BOGOR,KOTA DEPOK,BR,250,500
M-BKS-086,RAWALUMBU,KOTA BEKASI,BOGOR,BR,1000,7000
M-BKS-086,RAWALUMBU,KOTA BEKASI,BEKASI,BR,400,2800
M-BKS-089,BANTARGEBANG,KOTA BEKASI,SUBANG,BR,874,3496
M-BKS-089,BANTARGEBANG,KOTA BEKASI,BANDUNG,BR,800,2400
M-BKS-025,BEKASI BARAT,KOTA BEKASI,BANDUNG,BR,2300,8050
M-BKS-025,BEKASI BARAT,KOTA BEKASI,TASIKMALAYA,BR,2300,8050
M-BKS-025,BEKASI BARAT,KOTA BEKASI,TASIKMALAYA,BR,2000,14000
D-BGR-026,CIBINONG,BOGOR,BOGOR,BR,1000,7000
D-BGR-026,CIBINONG,BOGOR,BOGOR,BR,1000,7000
D-BGR-016,CIBINONG,BOGOR,BOGOR,BR,45,315
D-BGR-030,CIBINONG,BOGOR,BOGOR,BR,1200,8400
D-BGR-029,CIBINONG,BOGOR,BOGOR,BR,2000,14000
D-BGR-018,CIBINONG,BOGOR,KOTA BOGOR,BR,500,3500
M-TGR-124,BATUCEPER,KOTA TANGERANG,TANGERANG,BR,500,3500
D-BGR-017,CIBINONG,BOGOR,BOGOR,BR,800,4000
D-BGR-017,CIBINONG,BOGOR,BOGOR,BR,800,1600
D-BGR-033,CIBINONG,BOGOR,BOGOR,BR,300,2100
M-TGR-045,BATUCEPER,KOTA TANGERANG,BANDUNG,BR,200,1400
M-TGR-045,BATUCEPER,KOTA TANGERANG,TANGERANG,BR,100,700
D-BGR-033,CIBINONG,BOGOR,BOGOR,BR,1000,7000
M-TGR-074,BATUCEPER,KOTA TANGERANG,KOTA TANGERANG,LA,30,210
M-TGR-074,BATUCEPER,KOTA TANGERANG,KOTA TANGERANG,LA,30,210
M-JKS-077-1,KEBAYORAN LAMA,JAKARTA SELATAN,TANGERANG,BR,1000,5000
M-JKS-077-1,KEBAYORAN LAMA,JAKARTA SELATAN,SERANG,BR,1000,2000
M-JKS-077-3,KEBAYORAN LAMA,JAKARTA SELATAN,BOGOR,BR,2000,10000
M-JKS-077-3,KEBAYORAN LAMA,JAKARTA SELATAN,SUKABUMI,BR,2000,4000
M-JKS-077-2,KEBAYORAN LAMA,JAKARTA SELATAN,BOGOR,BR,700,3500
M-JKS-077-2,KEBAYORAN LAMA,JAKARTA SELATAN,KOTA SERANG,BR,700,1400
D-BGR-002,CISEENG,BOGOR,BOGOR,BR,100,350
D-BGR-002,CISEENG,BOGOR,SUKABUMI,BR,100,350
M-JKS-055,KEBAYORAN LAMA,JAKARTA SELATAN,TANGERANG,BR,1200,8400
M-JKS-054,KEBAYORAN LAMA,JAKARTA SELATAN,MAGELANG,BR,1000,3500
M-JKS-054,KEBAYORAN LAMA,JAKARTA SELATAN,TANGERANG,BR,1000,3500
M-JKS-054,KEBAYORAN LAMA,JAKARTA SELATAN,TANGERANG,LA,1300,4550
M-JKS-054,KEBAYORAN LAMA,JAKARTA SELATAN,MAGELANG,LA,1300,4550
M-JKS-056,KEBAYORAN LAMA,JAKARTA SELATAN,KOTA PALEMBANG,LA,1000,7000
D-BKS-048,KEDUNGWARINGIN,BEKASI,KARAWANG,BR,600,0
M-JKS-063,KEBAYORAN LAMA,JAKARTA SELATAN,TANGERANG,BR,500,3500
M-JKS-057,KEBAYORAN LAMA,JAKARTA SELATAN,TANGERANG,BR,500,3500
M-JKS-057,KEBAYORAN LAMA,JAKARTA SELATAN,KOTA PALEMBANG,LA,1000,7000
